32000,7, 0.653, 0.653, 0.656, 0.515, 0.771, 0.566, 0.653
57000,0, 0.623, 0.623, 0.627, 0.488, 0.749, 0.533, 0.623
57000,1, 0.625, 0.625, 0.629, 0.489, 0.749, 0.537, 0.625
57000,2, 0.628, 0.628, 0.631, 0.490, 0.749, 0.540, 0.628
57000,3, 0.632, 0.632, 0.636, 0.493, 0.752, 0.546, 0.632
57000,4, 0.635, 0.635, 0.638, 0.497, 0.752, 0.550, 0.635
57000,5, 0.637, 0.637, 0.640, 0.499, 0.753, 0.552, 0.637
57000,6, 0.639, 0.639, 0.642, 0.502, 0.755, 0.554, 0.639
57000,7, 0.665, 0.665, 0.669, 0.533, 0.784, 0.578, 0.665
57000,8, 0.699, 0.699, 0.701, 0.577, 0.800, 0.621, 0.699
57000,9, 0.718, 0.718, 0.720, 0.601, 0.820, 0.638, 0.718
57000,10, 0.732, 0.732, 0.733, 0.617, 0.823, 0.659, 0.732
13000,8, 0.648, 0.648, 0.651, 0.512, 0.765, 0.562, 0.648
13000,9, 0.662, 0.662, 0.665, 0.529, 0.775, 0.578, 0.662
13000,10, 0.668, 0.668, 0.671, 0.536, 0.780, 0.584, 0.668
13000,11, 0.671, 0.671, 0.674, 0.541, 0.783, 0.587, 0.671
14000,8, 0.654, 0.654, 0.657, 0.518, 0.769, 0.568, 0.654
14000,9, 0.671, 0.671, 0.673, 0.540, 0.781, 0.588, 0.671
14000,10, 0.674, 0.674, 0.677, 0.543, 0.786, 0.590, 0.674
2000,9, 0.462, 0.462, 0.485, 0.320, 0.694, 0.346, 0.462
2000,10, 0.460, 0.460, 0.483, 0.318, 0.690, 0.345, 0.460
2000,11, 0.461, 0.461, 0.483, 0.319, 0.687, 0.347, 0.461
3000,8, 0.480, 0.480, 0.499, 0.336, 0.691, 0.368, 0.480
3000,9, 0.480, 0.480, 0.498, 0.337, 0.690, 0.368, 0.480
3000,10, 0.479, 0.479, 0.497, 0.335, 0.688, 0.367, 0.479
3000,11, 0.478, 0.478, 0.497, 0.334, 0.687, 0.367, 0.478
4000,8, 0.491, 0.491, 0.508, 0.345, 0.695, 0.379, 0.491
4000,9, 0.489, 0.489, 0.506, 0.345, 0.691, 0.379, 0.489
4000,10, 0.488, 0.488, 0.505, 0.342, 0.690, 0.377, 0.488
