21000,0, 0.788, 0.788, 0.576, 0.779, 0.788,, 0.788
21000,1, 0.786, 0.786, 0.573, 0.778, 0.787,, 0.786
21000,2, 0.786, 0.786, 0.572, 0.777, 0.787,, 0.786
21000,3, 0.786, 0.786, 0.574, 0.778, 0.789,, 0.786
21000,4, 0.787, 0.787, 0.574, 0.778, 0.789,, 0.787
21000,5, 0.787, 0.787, 0.574, 0.777, 0.788,, 0.787
21000,6, 0.787, 0.787, 0.576, 0.779, 0.789,, 0.787
21000,7, 0.789, 0.789, 0.579, 0.780, 0.792,, 0.789
21000,8, 0.789, 0.789, 0.580, 0.779, 0.792,, 0.789
21000,9, 0.792, 0.792, 0.584, 0.778, 0.793,, 0.792
21000,10, 0.791, 0.791, 0.583, 0.778, 0.792,, 0.791
21000,11, 0.792, 0.792, 0.583, 0.777, 0.791,, 0.792
21000,12, 0.790, 0.790, 0.580, 0.775, 0.790,, 0.790
22000,0, 0.788, 0.788, 0.575, 0.779, 0.788,, 0.788
22000,1, 0.786, 0.786, 0.572, 0.777, 0.787,, 0.786
22000,2, 0.785, 0.785, 0.570, 0.775, 0.785,, 0.785
22000,3, 0.784, 0.784, 0.570, 0.775, 0.787,, 0.784
22000,4, 0.785, 0.785, 0.571, 0.775, 0.787,, 0.785
22000,5, 0.786, 0.786, 0.573, 0.776, 0.788,, 0.786
22000,6, 0.787, 0.787, 0.575, 0.778, 0.790,, 0.787
22000,7, 0.789, 0.789, 0.579, 0.778, 0.793,, 0.789
22000,8, 0.789, 0.789, 0.580, 0.778, 0.792,, 0.789
22000,9, 0.791, 0.791, 0.581, 0.777, 0.789,, 0.791
22000,10, 0.790, 0.790, 0.580, 0.776, 0.788,, 0.790
22000,11, 0.793, 0.793, 0.584, 0.778, 0.789,, 0.793
22000,12, 0.791, 0.791, 0.579, 0.775, 0.787,, 0.791
23000,0, 0.788, 0.788, 0.576, 0.780, 0.789,, 0.788
