37000,0, 0.827, 0.827, 0.825, 0.754, 0.880, 0.780, 0.827
37000,1, 0.833, 0.833, 0.832, 0.763, 0.889, 0.784, 0.833
37000,2, 0.835, 0.835, 0.833, 0.763, 0.889, 0.787, 0.835
37000,3, 0.837, 0.837, 0.835, 0.765, 0.888, 0.791, 0.837
37000,4, 0.838, 0.838, 0.836, 0.767, 0.888, 0.794, 0.838
37000,5, 0.841, 0.841, 0.839, 0.772, 0.889, 0.798, 0.841
37000,6, 0.843, 0.843, 0.841, 0.778, 0.889, 0.802, 0.843
37000,7, 0.857, 0.857, 0.855, 0.791, 0.901, 0.817, 0.857
37000,8, 0.883, 0.883, 0.882, 0.825, 0.924, 0.846, 0.883
37000,9, 0.887, 0.887, 0.886, 0.828, 0.934, 0.845, 0.887
